name	class
CEFOTETAN	CEPHALOSPORIN 2ND GENERATION
CEFOXITIN NA	CEPHALOSPORIN 2ND GENERATION
CEFPODOXIME PROXETIL	CEPHALOSPORIN 2ND GENERATION
CEFUROXIME AXETIL	CEPHALOSPORIN 2ND GENERATION
CEFDINIR	CEPHALOSPORIN 3RD GENERATION
CEFIXIME	CEPHALOSPORIN 3RD GENERATION
CEFOTAXIME	CEPHALOSPORIN 3RD GENERATION
CEFTAZIDIME	CEPHALOSPORIN 3RD GENERATION
CEFTIZOXIME	CEPHALOSPORIN 3RD GENERATION
CEFTRIAXONE NA	CEPHALOSPORIN 3RD GENERATION
CEFEPIME	CEPHALOSPORIN 4TH GENERATION
AZTREONAM	BETA-LACTAMS ANTIMICROBIALS,OTHER
CEFTAROLINE	BETA-LACTAMS ANTIMICROBIALS,OTHER
ERTAPENEM	BETA-LACTAMS ANTIMICROBIALS,OTHER
IMIPENEM/CILASTATIN NA	BETA-LACTAMS ANTIMICROBIALS,OTHER
MEROPENEM	BETA-LACTAMS ANTIMICROBIALS,OTHER
CHLORAMPHENICOL	CHLORAMPHENICOL
AZITHROMYCIN	ERYTHROMYCINS/MACROLIDES
AZITHROMYCIN	ERYTHROMYCINS/MACROLIDES
AZITHROMYCIN	ERYTHROMYCINS/MACROLIDES
CLARITHROMYCIN	ERYTHROMYCINS/MACROLIDES
ERYTHROMYCIN	ERYTHROMYCINS/MACROLIDES
ERYTHROMYCIN	ERYTHROMYCINS/MACROLIDES
ERYTHROMYCIN	ERYTHROMYCINS/MACROLIDES
ERYTHROMYCIN LACTOBIONATE	ERYTHROMYCINS/MACROLIDES
DEMECLOCYCLINE HCL	TETRACYCLINES
DOXYCYCLINE	TETRACYCLINES
DOXYCYCLINE	TETRACYCLINES
DOXYCYCLINE HYCLATE	TETRACYCLINES
MINOCYCLINE HCL	TETRACYCLINES
TETRACYCLINE HCL	TETRACYCLINES
TIGECYCLINE	TETRACYCLINES
AMIKACIN SULFATE	AMINOGLYCOSIDES
GENTAMICIN SO4	AMINOGLYCOSIDES
KANAMYCIN	AMINOGLYCOSIDES
NEOMYCIN SULFATE	AMINOGLYCOSIDES
STREPTOMYCIN SULFATE	AMINOGLYCOSIDES
TOBRAMYCIN SULFATE	AMINOGLYCOSIDES
CLINDAMYCIN	LINCOMYCINS
CLINDAMYCIN PALMITATE SOLN	LINCOMYCINS
CLINDAMYCIN PHOSPHATE	LINCOMYCINS
CIPROFLOXACIN	QUINOLONES
CIPROFLOXACIN HCL	QUINOLONES
LEVOFLOXACIN	QUINOLONES
LEVOFLOXACIN	QUINOLONES
MOXIFLOXACIN	QUINOLONES
MOXIFLOXACIN	QUINOLONES
CAPREOMYCIN INJ	ANTITUBERCULARS
CYCLOSERINE	ANTITUBERCULARS
ETHAMBUTOL HCL	ANTITUBERCULARS
ETHIONAMIDE	ANTITUBERCULARS
ISONIAZID	ANTITUBERCULARS
ISONIAZID	ANTITUBERCULARS
ISONIAZID/RIFAMPIN	ANTITUBERCULARS
PYRAZINAMIDE	ANTITUBERCULARS
RIFAMPIN	ANTITUBERCULARS
RIFAMPIN	ANTITUBERCULARS
RIFAPENTINE	ANTITUBERCULARS
METHENAMINE	METHENAMINE SALTS ANTIMICROBIALS
NITROFURANTOIN MONOHYDRATE/MACROCRYSTALLINE	NITROFURANS ANTIMICROBIALS
SULFADIAZINE	SULFONAMIDE/RELATED ANTIMICROBIALS
SULFAMETHOXAZOLE/TRIMETHOPRIM	SULFONAMIDE/RELATED ANTIMICROBIALS
SULFAMETHOXAZOLE/TRIMETHOPRIM	SULFONAMIDE/RELATED ANTIMICROBIALS
SULFAMETHOXAZOLE/TRIMETHOPRIM	SULFONAMIDE/RELATED ANTIMICROBIALS
AMPHOTERICIN B	ANTIFUNGALS
AMPHOTERICIN B LIPOSOMAL	ANTIFUNGALS
FLUCONAZOLE	ANTIFUNGALS
FLUCONAZOLE	ANTIFUNGALS
FLUCONAZOLE	ANTIFUNGALS
FLUCYTOSINE	ANTIFUNGALS
ITRACONAZOLE ORAL	ANTIFUNGALS
KETOCONAZOLE	ANTIFUNGALS
MICAFUNGIN	ANTIFUNGALS
NYSTATIN	ANTIFUNGALS
NYSTATIN	ANTIFUNGALS
TERBINAFINE HCL	ANTIFUNGALS
ABACAVIR	ANTIVIRALS
ABACAVIR	ANTIVIRALS
ABACAVIR/DOLUTEGRAVIR/LAMIVUDINE	ANTIVIRALS
ABACAVIR/LAMIVUDINE	ANTIVIRALS
ABACAVIR/LAMIVUDINE/ZIDOVUDINE	ANTIVIRALS
ACYCLOVIR	ANTIVIRALS
ACYCLOVIR	ANTIVIRALS
ACYCLOVIR	ANTIVIRALS
ADEFOVIR	ANTIVIRALS
AMANTADINE HCL	ANTIVIRALS
AMANTADINE HCL	ANTIVIRALS
ATAZANIVIR	ANTIVIRALS
CIDOFOVIR	ANTIVIRALS
COBICISTAT/DARUNAVIR	ANTIVIRALS
COBICISTAT/ELVITEGRAVIR/EMTRICITABINE/TENOFOVIR 	ANTIVIRALS
DARUNAVIR ETHANOLATE	ANTIVIRALS
DASABUVIR/OMBITASVIR/PARITAPREVIR/RITONAVIR	ANTIVIRALS
DELAVIRDINE	ANTIVIRALS
DIDANOSINE	ANTIVIRALS
DOLUTEGRAVIR	ANTIVIRALS
EFAVIRENZ	ANTIVIRALS
EFAVIRENZ	ANTIVIRALS
EFAVIRENZ/EMTRICITABINE/TENOFOVIR	ANTIVIRALS
EMTRICITABINE	ANTIVIRALS
EMTRICITABINE/RILPIVIRINE/TENOFOVIR	ANTIVIRALS
EMTRICITABINE/TENOFOVIR	ANTIVIRALS
ENFUVIRTIDE	ANTIVIRALS
ENTECAVIR	ANTIVIRALS
ENTECAVIR	ANTIVIRALS
ETRAVIRINE	ANTIVIRALS
FAMCICLOVIR	ANTIVIRALS
FOSAMPRENAVIR	ANTIVIRALS
GANCICLOVIR	ANTIVIRALS
INDINAVIR S04	ANTIVIRALS
INTERFERON ALFA-2B INJ/RIBAVIRIN	ANTIVIRALS
LAMIVUDINE	ANTIVIRALS
LAMIVUDINE	ANTIVIRALS
LAMIVUDINE/ZIDOVUDINE	ANTIVIRALS
LEDIPASVIR/SOFOSBUVIR	ANTIVIRALS
LOPINAVIR/RITONAVIR	ANTIVIRALS
MARAVIROC	ANTIVIRALS
NELFINAVIR	ANTIVIRALS
NEVIRAPINE	ANTIVIRALS
OSELTAMIVIR	ANTIVIRALS
RALTEGRAVIR	ANTIVIRALS
RIBAVIRIN	ANTIVIRALS
RIBAVIRIN	ANTIVIRALS
RILPIVIRINE	ANTIVIRALS
RIMANTADINE HCL	ANTIVIRALS
RITONAVIR	ANTIVIRALS
RITONAVIR	ANTIVIRALS
SAQUINAVIR	ANTIVIRALS
SAQUINAVIR	ANTIVIRALS
SIMEPREVIR	ANTIVIRALS
SOFOSBUVIR	ANTIVIRALS
STAVUDINE (d4T)	ANTIVIRALS
TENOFOVIR DISOPROXIL FUMARATE	ANTIVIRALS
TIPRANAVIR	ANTIVIRALS
VALACYCLOVIR	ANTIVIRALS
VALGANCICLOVIR HCL	ANTIVIRALS
ZANAMIVIR	ANTIVIRALS
ZIDOVUDINE	ANTIVIRALS
ZIDOVUDINE	ANTIVIRALS
ZIDOVUDINE	ANTIVIRALS
BACITRACIN	ANTI-INFECTIVES,OTHER
DALFOPRISTIN/QUINUPRISTIN	ANTI-INFECTIVES,OTHER
DAPSONE	ANTI-INFECTIVES,OTHER
DAPTOMYCIN	ANTI-INFECTIVES,OTHER
LINEZOLID	ANTI-INFECTIVES,OTHER
LINEZOLID	ANTI-INFECTIVES,OTHER
LINEZOLID	ANTI-INFECTIVES,OTHER
METRONIDAZOLE	ANTI-INFECTIVES,OTHER
METRONIDAZOLE	ANTI-INFECTIVES,OTHER
PENTAMIDINE ISETHIONATE	ANTI-INFECTIVES,OTHER
POLYMYXIN B SO4	ANTI-INFECTIVES,OTHER
RIFABUTIN	ANTI-INFECTIVES,OTHER
TRIMETHOPRIM	ANTI-INFECTIVES,OTHER
VANCOMYCIN	ANTI-INFECTIVES,OTHER
VANCOMYCIN HCL	ANTI-INFECTIVES,OTHER
BUSULFAN	ANTINEOPLASTICS,ALKYLATING AGENTS
BUSULFAN	ANTINEOPLASTICS,ALKYLATING AGENTS
CARMUSTINE	ANTINEOPLASTICS,ALKYLATING AGENTS
CHLORAMBUCIL	ANTINEOPLASTICS,ALKYLATING AGENTS
CYCLOPHOSPHAMIDE	ANTINEOPLASTICS,ALKYLATING AGENTS
CYCLOPHOSPHAMIDE	ANTINEOPLASTICS,ALKYLATING AGENTS
IFOSFAMIDE	ANTINEOPLASTICS,ALKYLATING AGENTS
IFOSFAMIDE/MESNA	ANTINEOPLASTICS,ALKYLATING AGENTS
LOMUSTINE	ANTINEOPLASTICS,ALKYLATING AGENTS
MECHLORETHAMINE	ANTINEOPLASTICS,ALKYLATING AGENTS
MELPHALAN	ANTINEOPLASTICS,ALKYLATING AGENTS
MELPHALAN HCL	ANTINEOPLASTICS,ALKYLATING AGENTS
THIOTEPA	ANTINEOPLASTICS,ALKYLATING AGENTS
BLEOMYCIN SO4	ANTINEOPLASTIC ANTIBIOTICS
DACTINOMYCIN	ANTINEOPLASTIC ANTIBIOTICS
DAUNORUBICIN	ANTINEOPLASTIC ANTIBIOTICS
DOXORUBICIN	ANTINEOPLASTIC ANTIBIOTICS
IDARUBICIN	ANTINEOPLASTIC ANTIBIOTICS
MITOMYCIN	ANTINEOPLASTIC ANTIBIOTICS
STREPTOZOCIN	ANTINEOPLASTIC ANTIBIOTICS
AZACITIDINE	ANTINEOPLASTICS,ANTIMETABOLITES
CAPECITABINE	ANTINEOPLASTICS,ANTIMETABOLITES
CLADRIBINE	ANTINEOPLASTICS,ANTIMETABOLITES
CYTARABINE	ANTINEOPLASTICS,ANTIMETABOLITES
FLUDARABINE	ANTINEOPLASTICS,ANTIMETABOLITES
FLUOROURACIL	ANTINEOPLASTICS,ANTIMETABOLITES
HYDROXYUREA	ANTINEOPLASTICS,ANTIMETABOLITES
MERCAPTOPURINE	ANTINEOPLASTICS,ANTIMETABOLITES
METHOTREXATE NA	ANTINEOPLASTICS,ANTIMETABOLITES
METHOTREXATE NA	ANTINEOPLASTICS,ANTIMETABOLITES
THIOGUANINE	ANTINEOPLASTICS,ANTIMETABOLITES
LEUPROLIDE (EQV-ELIGARD)	ANTINEOPLASTIC HORMONES
TAMOXIFEN CITRATE	ANTINEOPLASTIC HORMONES
DEXRAZOXANE	PROTECTIVE AGENTS
ANASTROZOLE	ANTINEOPLASTIC,OTHER
ASPARAGINASE	ANTINEOPLASTIC,OTHER
BCG,TICE VACCINE	ANTINEOPLASTIC,OTHER
BEVACIZUMAB	ANTINEOPLASTIC,OTHER
BICALUTAMIDE	ANTINEOPLASTIC,OTHER
BORTEZOMIB	ANTINEOPLASTIC,OTHER
CARBOPLATIN INJ	ANTINEOPLASTIC,OTHER
CISPLATIN	ANTINEOPLASTIC,OTHER
DACARBAZINE	ANTINEOPLASTIC,OTHER
DOCETAXEL	ANTINEOPLASTIC,OTHER
ESTRAMUSTINE	ANTINEOPLASTIC,OTHER
ETOPOSIDE	ANTINEOPLASTIC,OTHER
ETOPOSIDE	ANTINEOPLASTIC,OTHER
FLUTAMIDE	ANTINEOPLASTIC,OTHER
GEMCITABINE	ANTINEOPLASTIC,OTHER
IMATINIB MESYLATE	ANTINEOPLASTIC,OTHER
IRINOTECAN	ANTINEOPLASTIC,OTHER
LETROZOLE	ANTINEOPLASTIC,OTHER
MITOTANE	ANTINEOPLASTIC,OTHER
MITOXANTRONE	ANTINEOPLASTIC,OTHER
OXALIPLATIN	ANTINEOPLASTIC,OTHER
PACLITAXEL	ANTINEOPLASTIC,OTHER
PENTOSTATIN	ANTINEOPLASTIC,OTHER
PENTOSTATIN/MANNITOL	ANTINEOPLASTIC,OTHER
PERTUZUMAB	ANTINEOPLASTIC,OTHER
PORFIMER SODIUM	ANTINEOPLASTIC,OTHER
PROCARBAZINE	ANTINEOPLASTIC,OTHER
RITUXIMAB	ANTINEOPLASTIC,OTHER
TENIPOSIDE	ANTINEOPLASTIC,OTHER
TOPOTECAN	ANTINEOPLASTIC,OTHER
TRASTUZUMAB	ANTINEOPLASTIC,OTHER
VINBLASTINE	ANTINEOPLASTIC,OTHER
VINCRISTINE	ANTINEOPLASTIC,OTHER
VINORELBINE	ANTINEOPLASTIC,OTHER
ZIV-AFLIBERCEPT	ANTINEOPLASTIC,OTHER
ATOVAQUONE/PROGUANIL	ANTIMALARIALS
HYDROXYCHLOROQUINE SULFATE	ANTIMALARIALS
PRIMAQUINE PHOSPHATE	ANTIMALARIALS
PYRIMETHAMINE	ANTIMALARIALS
ATOVAQUONE	ANTIPROTOZOALS,OTHER
PENTAMIDINE ISETHIONATE	ANTIPROTOZOALS,OTHER
ALBENDAZOLE	ANTHELMINTICS
IVERMECTIN	ANTHELMINTICS
PERMETHRIN (OTC)	PEDICULICIDES
PERMETHRIN (OTC)	PEDICULICIDES
DOBUTAMINE	SYMPATHOMIMETICS (ADRENERGICS)
DOPAMINE	SYMPATHOMIMETICS (ADRENERGICS)
EPHEDRINE	SYMPATHOMIMETICS (ADRENERGICS)
EPINEPHRINE	SYMPATHOMIMETICS (ADRENERGICS)
FENOLDOPAM	SYMPATHOMIMETICS (ADRENERGICS)
ISOPROTERENOL	SYMPATHOMIMETICS (ADRENERGICS)
NOREPINEPHRINE	SYMPATHOMIMETICS (ADRENERGICS)
PHENYLEPHRINE	SYMPATHOMIMETICS (ADRENERGICS)
TERBUTALINE SULFATE	SYMPATHOMIMETICS (ADRENERGICS)
PHENOXYBENZAMINE HCL	SYMPATHOLYTICS
PHENTOLAMINE MESYLATE	SYMPATHOLYTICS
BETHANECHOL CHLORIDE	PARASYMPATHOMIMETICS (CHOLINERGICS)
BETHANECHOL CHLORIDE	PARASYMPATHOMIMETICS (CHOLINERGICS)
EDROPHONIUM CHLORIDE	PARASYMPATHOMIMETICS (CHOLINERGICS)
METOCLOPRAMIDE HCL	PARASYMPATHOMIMETICS (CHOLINERGICS)
METOCLOPRAMIDE HCL	PARASYMPATHOMIMETICS (CHOLINERGICS)
METOCLOPRAMIDE HCL INJ	PARASYMPATHOMIMETICS (CHOLINERGICS)
NEOSTIGMINE BROMIDE	PARASYMPATHOMIMETICS (CHOLINERGICS)
NEOSTIGMINE METHYLSULFATE	PARASYMPATHOMIMETICS (CHOLINERGICS)
PHYSOSTIGMINE SALICYLATE	PARASYMPATHOMIMETICS (CHOLINERGICS)
PILOCARPINE HCL	PARASYMPATHOMIMETICS (CHOLINERGICS)
PYRIDOSTIGMINE	PARASYMPATHOMIMETICS (CHOLINERGICS)
PYRIDOSTIGMINE	PARASYMPATHOMIMETICS (CHOLINERGICS)
PYRIDOSTIGMINE BROMIDE	PARASYMPATHOMIMETICS (CHOLINERGICS)
ATROPINE SO4	PARASYMPATHOLYTICS
BENZTROPINE MESYLATE	PARASYMPATHOLYTICS
BENZTROPINE MESYLATE	PARASYMPATHOLYTICS
DICYCLOMINE HCL	PARASYMPATHOLYTICS
DICYCLOMINE HCL	PARASYMPATHOLYTICS
DICYCLOMINE HCL	PARASYMPATHOLYTICS
DICYCLOMINE HCL	PARASYMPATHOLYTICS
GLYCOPYRROLATE	PARASYMPATHOLYTICS
PROPANTHELINE BR	PARASYMPATHOLYTICS
SCOPOLAMINE HBR	PARASYMPATHOLYTICS
TRIHEXYPHENIDYL	PARASYMPATHOLYTICS
BROMOCRIPTINE MESYLATE	AUTONOMIC AGENTS,OTHER
BROMOCRIPTINE MESYLATE	AUTONOMIC AGENTS,OTHER
APIXABAN	ANTICOAGULANTS
ARGATROBAN	ANTICOAGULANTS
BIVALIRUDIN	ANTICOAGULANTS
DABIGATRAN	ANTICOAGULANTS
DALTEPARIN	ANTICOAGULANTS
ENOXAPARIN	ANTICOAGULANTS
EPTIFIBATIDE	ANTICOAGULANTS
FONDAPARINUX	ANTICOAGULANTS
HEPARIN	ANTICOAGULANTS
RIVAROXABAN	ANTICOAGULANTS
TIROFIBAN	ANTICOAGULANTS
WARFARIN NA	ANTICOAGULANTS
ALTEPLASE, RECOMBINANT	THROMBOLYTICS
RETEPLASE	THROMBOLYTICS
STREPTOKINASE	THROMBOLYTICS
TENECTEPLASE,RECOMBINANT	THROMBOLYTICS
UROKINASE 5000U	THROMBOLYTICS
AMINOCAPROIC ACID	ANTIHEMORRHAGICS
AMINOCAPROIC ACID	ANTIHEMORRHAGICS
GELATIN,ABSORBABLE	ANTIHEMORRHAGICS
GELATIN,ABSORBABLE	ANTIHEMORRHAGICS
GELATIN,ABSORBABLE	ANTIHEMORRHAGICS
GELATIN,ABSORBABLE	ANTIHEMORRHAGICS
PROTHROMBIN COMPLEX CONCENTRATE (4-FACTOR)	ANTIHEMORRHAGICS
THROMBIN	ANTIHEMORRHAGICS
ABCIXIMAB	PLATELET AGGREGATION INHIBITORS
ASPIRIN/DIPYRIDAMOLE	PLATELET AGGREGATION INHIBITORS
CLOPIDOGREL BISULFATE	PLATELET AGGREGATION INHIBITORS
DIPYRIDAMOLE	PLATELET AGGREGATION INHIBITORS
PROTAMINE SO4	HEPARIN ANTAGONISTS
TRANEXAMIC ACID	#N/A
ANAGRELIDE	BLOOD FORMATION PRODUCTS
DARBEPOETIN ALFA RECOMBINANT	BLOOD FORMATION PRODUCTS
EPOETIN ALFA,RECOMBINANT	BLOOD FORMATION PRODUCTS
FILGRASTIM	BLOOD FORMATION PRODUCTS
FILGRASTIM-(TBO)	BLOOD FORMATION PRODUCTS
SARGRAMOSTIM	BLOOD FORMATION PRODUCTS
ALBUMIN,HUMAN	BLOOD DERIVATIVES
ANTIHEMOPHILIC FACTOR,HUMAN	BLOOD DERIVATIVES
FACTOR IX COMPLEX, HUMAN	BLOOD DERIVATIVES
PLASMA PROTEIN FRACTION 5%	BLOOD DERIVATIVES
DEXTRAN 40	VOLUME EXPANDERS
DEXTRAN 70	VOLUME EXPANDERS
DEXTRAN 75	VOLUME EXPANDERS
DEXTRAN HM	VOLUME EXPANDERS
HETASTARCH	VOLUME EXPANDERS
HETASTARCH/ELECTROLYTES	VOLUME EXPANDERS
ACETAMINOPHEN/HYDROCODONE	OPIOID ANALGESICS
ACETAMINOPHEN/HYDROCODONE	OPIOID ANALGESICS
ACETAMINOPHEN/OXYCODONE HCL	OPIOID ANALGESICS
ACETAMINOPHEN/OXYCODONE HCL	OPIOID ANALGESICS
ACETAMINOPHEN/OXYCODONE HCL	OPIOID ANALGESICS
ALFENTANIL HCL	OPIOID ANALGESICS
BELLADONA/OPIUM	OPIOID ANALGESICS
BUPRENORPHINE	OPIOID ANALGESICS
BUPRENORPHINE/NALOXONE	OPIOID ANALGESICS
BUTORPHANOL TARTRATE	OPIOID ANALGESICS
CODEINE	OPIOID ANALGESICS
CODEINE/ACETAMINOPHEN	OPIOID ANALGESICS
CODEINE/ACETAMINOPHEN	OPIOID ANALGESICS
FENTANYL	OPIOID ANALGESICS
FENTANYL CITRATE	OPIOID ANALGESICS
HYDROMORPHONE HCL	OPIOID ANALGESICS
HYDROMORPHONE HCL	OPIOID ANALGESICS
MEPERIDINE HCL	OPIOID ANALGESICS
METHADONE HCL	OPIOID ANALGESICS
METHADONE HCL	OPIOID ANALGESICS
MORPHINE	OPIOID ANALGESICS
MORPHINE	OPIOID ANALGESICS
MORPHINE	OPIOID ANALGESICS
MORPHINE	OPIOID ANALGESICS
MORPHINE	OPIOID ANALGESICS
MORPHINE	OPIOID ANALGESICS
MORPHINE	OPIOID ANALGESICS
OXYCODONE HCL	OPIOID ANALGESICS
OXYCODONE HCL	OPIOID ANALGESICS
REMIFENTANIL	OPIOID ANALGESICS
SUFENTANIL CITRATE	OPIOID ANALGESICS
NALOXONE (AUTOINJECTOR)	OPIOID ANTAGONIST ANALGESICS
NALOXONE HCL	OPIOID ANTAGONIST ANALGESICS
NALOXONE RESCUE INTRAMUSCULAR	OPIOID ANTAGONIST ANALGESICS
NALOXONE RESCUE INTRANASAL	OPIOID ANTAGONIST ANALGESICS
NALTREXONE HCL	OPIOID ANTAGONIST ANALGESICS
ACETAMINOPHEN	NON-OPIOID ANALGESICS
ACETAMINOPHEN	NON-OPIOID ANALGESICS
ACETAMINOPHEN	NON-OPIOID ANALGESICS
ACETAMINOPHEN	NON-OPIOID ANALGESICS
ACETAMINOPHEN/BUTALBITAL/CAFFEINE	NON-OPIOID ANALGESICS
ASPIRIN	NON-OPIOID ANALGESICS
ASPIRIN (OTC)	NON-OPIOID ANALGESICS
ASPIRIN (OTC)	NON-OPIOID ANALGESICS
ASPIRIN (OTC)	NON-OPIOID ANALGESICS
ASPIRIN BUFFERED (OTC)	NON-OPIOID ANALGESICS
ASPIRIN/BUTALBITAL/CAFFEINE	NON-OPIOID ANALGESICS
ASPIRIN/BUTALBITAL/CAFFEINE	NON-OPIOID ANALGESICS
CLONIDINE HCL	NON-OPIOID ANALGESICS
TRAMADOL HCL	NON-OPIOID ANALGESICS
CAFFEINE/ERGOTAMINE	ANTIMIGRAINE AGENTS
CAFFEINE/ERGOTAMINE	ANTIMIGRAINE AGENTS
DIHYDROERGOTAMINE MESYLATE	ANTIMIGRAINE AGENTS
SUMATRIPTAN SUCCINATE	ANTIMIGRAINE AGENTS
SUMATRIPTAN SUCCINATE	ANTIMIGRAINE AGENTS
ENFLURANE	ANESTHETICS,INHALATION
HALOTHANE INHALATION	ANESTHETICS,INHALATION
ISOFLURANE	ANESTHETICS,INHALATION
METHOHEXITAL	BARBITURIC ACID DERIVATIVE ANESTHETICS
THIOPENTAL	BARBITURIC ACID DERIVATIVE ANESTHETICS
DESFLURANE	GENERAL ANESTHETICS,OTHER
ETOMIDATE	GENERAL ANESTHETICS,OTHER
KETAMINE	GENERAL ANESTHETICS,OTHER
PROPOFOL	GENERAL ANESTHETICS,OTHER
SEVOFLURANE	GENERAL ANESTHETICS,OTHER
ARTICAINE/EPINEPHRINE	LOCAL ANESTHETICS,INJECTION
BUPIVACAINE HCL	LOCAL ANESTHETICS,INJECTION
BUPIVACAINE/DEXTROSE	LOCAL ANESTHETICS,INJECTION
BUPIVACAINE/EPINEPHRINE	LOCAL ANESTHETICS,INJECTION
CHLOROPROCAINE HCL	LOCAL ANESTHETICS,INJECTION
LIDOCAINE HCL	LOCAL ANESTHETICS,INJECTION
LIDOCAINE HCL/EPINEPHRINE	LOCAL ANESTHETICS,INJECTION
MEPIVACAINE HCL	LOCAL ANESTHETICS,INJECTION
PRILOCAINE	LOCAL ANESTHETICS,INJECTION
PRILOCAINE HCL/EPINEPHRINE	LOCAL ANESTHETICS,INJECTION
PROCAINE HCL	LOCAL ANESTHETICS,INJECTION
ROPIVACAINE	LOCAL ANESTHETICS,INJECTION
TETRACAINE HCL	LOCAL ANESTHETICS,INJECTION
DROPERIDOL	ANESTHETIC ADJUNCTS
PHENOBARBITAL	BARBITURIC ACID DERIVATIVE SEDATIVES/HYPNOTICS
PHENOBARBITAL	BARBITURIC ACID DERIVATIVE SEDATIVES/HYPNOTICS
PHENOBARBITAL	BARBITURIC ACID DERIVATIVE SEDATIVES/HYPNOTICS
ALPRAZOLAM	BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS
CHLORDIAZEPOXIDE HCL	BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS
DIAZEPAM	BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS
DIAZEPAM	BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS
